RCF RBS RTK RF4 RFF R1H RC9 RQ3 RXL RMC RAE RXH RXQ RWY RGT RT1 RQM RFS RJR RXP RJ6 RN7 RP5 RBD RDY RJN RVV RXR RDE RXC RWH RVR RDU RR7 RLT RTQ RP4 RN3 RJ1 RN5 RCD RQX RWA RYJ R1F RGP RNQ RJZ RAX RXN RR8 RJ2 RBQ REM R1K RWF R0A RPA RBT RXF RAJ RD8 RM1 RVJ RNN RAP RVW RGN RNS RP1 RBZ RJL RTF RX1 RNU RTH RW6 RHU RXE RHW REF RH8 RAL RAN RGM RA2 RD1 RM3 RNZ RXK RCU RHQ RK5 RH5 RTR R0B RJC RVY RJ7 RBN RWJ RTP RMP REN RNA RAS RTD RQW RCX RFR RPY RRJ RL4 RXW RET RA9 RWD RRV RHM RRK RA7 RKB R0D RK9 RTG RWE RTX RJE RBK RWW RWG RGR RYR RKE RBL RWP RRF RLQ RA4 RCB
1.0986123 0.0000000 0.0000000 2.7080502 2.3025851 4.4067192 2.9957323 0.0000000 2.0794415 2.0794415 0.6931472 2.1972246 0.0000000 2.3978953 2.8903718 0.0000000 3.5553481 2.8903718 1.7917595 2.3978953 3.1780538 2.0794415 0.0000000 0.0000000 0.0000000 1.9459101 1.7917595 2.6390573 0.0000000 0.0000000 0.0000000 2.9444390 3.0445224 1.7917595 1.7917595 0.0000000 0.0000000 1.7917595 4.5217886 0.0000000 0.0000000 0.0000000 0.0000000 4.0073332 0.0000000 1.3862944 2.3025851 4.2766661 2.1972246 1.7917595 0.0000000 3.3672958 1.0986123 1.3862944 3.8712010 2.8903718 2.8332133 0.0000000 0.0000000 2.7080502 2.9444390 1.9459101 0.0000000 0.0000000 0.0000000 3.3672958 1.6094379 2.6390573 1.9459101 0.0000000 1.3862944 0.0000000 2.0794415 3.4011974 0.0000000 2.7725887 0.0000000 3.4965076 0.0000000 2.8903718 0.0000000 0.0000000 4.4886364 0.0000000 0.0000000 0.0000000 2.1972246 0.0000000 1.6094379 2.7725887 0.0000000 0.0000000 2.3978953 0.6931472 0.0000000 0.0000000 1.0986123 1.7917595 4.0253517 2.5649494 0.0000000 2.3025851 1.9459101 0.0000000 2.3025851 2.0794415 2.7725887 2.9957323 2.0794415 0.0000000 0.6931472 0.0000000 2.9957323 1.7917595 0.0000000 0.0000000 2.3978953 0.0000000 2.6390573 4.4543473 0.0000000 2.6390573 1.9459101 2.6390573 1.0986123 3.1354942 0.0000000 2.5649494 2.7080502 2.3025851 2.8903718 0.0000000 2.7080502 2.8903718 0.0000000 2.5649494 1.9459101 1.7917595 1.7917595 1.9459101
1.0986123 0.0000000 2.5649494 2.8903718 0.0000000 4.5643482 3.1780538 0.0000000 2.3025851 2.3025851 0.6931472 2.5649494 2.6390573 2.6390573 3.0910425 0.0000000 3.6635616 2.4849066 1.7917595 2.5649494 3.0445224 2.1972246 0.0000000 0.0000000 0.0000000 1.7917595 1.7917595 2.8332133 0.0000000 0.0000000 2.8903718 2.9957323 0.0000000 1.6094379 1.6094379 0.0000000 0.0000000 2.1972246 4.4067192 2.1972246 1.0986123 2.8903718 2.1972246 4.0943446 1.3862944 1.7917595 2.3025851 4.3567088 0.0000000 1.9459101 0.0000000 3.3322045 1.0986123 3.1354942 3.8286414 2.9444390 2.1972246 0.0000000 2.3025851 2.5649494 3.4011974 1.7917595 1.3862944 0.0000000 0.0000000 3.4011974 1.3862944 2.6390573 1.9459101 0.0000000 1.3862944 0.0000000 2.1972246 3.4657359 0.0000000 2.9957323 0.0000000 3.5553481 0.0000000 2.9957323 1.0986123 0.0000000 4.5217886 0.0000000 2.3025851 0.0000000 2.3025851 0.0000000 1.6094379 3.0910425 0.0000000 0.0000000 2.4849066 1.6094379 3.0445224 0.0000000 1.9459101 2.0794415 4.0943446 2.6390573 0.0000000 2.3025851 2.0794415 0.0000000 2.0794415 2.1972246 3.0910425 0.0000000 2.1972246 1.6094379 1.3862944 0.0000000 3.0910425 2.0794415 0.6931472 0.0000000 2.3978953 0.0000000 2.8332133 4.6539604 0.0000000 2.8332133 1.9459101 2.5649494 2.8903718 3.3322045 0.0000000 2.7080502 2.9444390 2.4849066 3.2580965 1.6094379 2.5649494 2.8903718 0.0000000 2.6390573 2.0794415 1.6094379 1.6094379 1.9459101
1.6094379 0.0000000 2.9444390 3.3322045 2.0794415 4.7874917 3.2580965 0.0000000 2.3025851 2.4849066 1.0986123 1.7917595 2.6390573 3.0910425 3.2188758 0.0000000 3.8066625 2.3978953 1.9459101 2.3978953 3.0910425 2.3025851 1.6094379 0.0000000 0.0000000 1.7917595 1.7917595 0.0000000 0.0000000 1.9459101 2.8903718 3.0445224 3.4657359 1.9459101 1.6094379 0.0000000 0.0000000 1.9459101 4.4067192 2.3978953 0.6931472 3.1780538 2.3025851 4.0943446 1.9459101 2.0794415 2.0794415 4.4543473 2.4849066 1.7917595 0.0000000 3.3672958 1.7917595 3.2580965 3.8501476 2.8903718 1.3862944 2.3025851 2.7080502 2.7080502 1.9459101 1.7917595 1.9459101 0.0000000 2.3978953 3.3322045 2.1972246 2.5649494 1.7917595 0.0000000 1.3862944 0.0000000 2.0794415 3.6109179 0.0000000 3.3322045 0.6931472 2.9957323 0.0000000 0.0000000 1.3862944 0.0000000 4.4886364 0.0000000 2.3978953 2.0794415 2.1972246 0.0000000 1.6094379 3.0445224 0.0000000 0.0000000 2.5649494 1.3862944 2.9957323 0.0000000 1.3862944 1.7917595 4.0430513 2.6390573 2.4849066 2.8903718 2.1972246 0.0000000 2.4849066 2.3978953 2.9957323 3.2958369 2.1972246 0.0000000 1.3862944 0.0000000 2.8903718 1.6094379 0.6931472 0.0000000 2.4849066 0.0000000 2.7725887 4.6634391 0.0000000 2.9444390 1.9459101 2.6390573 3.1780538 3.2580965 2.6390573 2.7725887 2.8332133 2.4849066 3.2580965 0.0000000 2.5649494 2.8332133 0.0000000 2.7080502 2.0794415 1.6094379 1.7917595 2.0794415
1.9459101 0.0000000 2.9444390 3.8066625 2.0794415 4.8040210 3.4011974 0.6931472 2.6390573 2.6390573 1.0986123 1.6094379 2.5649494 2.7080502 3.2958369 0.0000000 3.9120230 2.1972246 1.9459101 2.1972246 2.9444390 2.4849066 1.6094379 0.0000000 0.0000000 1.7917595 1.7917595 2.9444390 0.0000000 2.6390573 2.4849066 3.0445224 3.4339872 1.7917595 1.6094379 0.0000000 0.0000000 2.6390573 0.0000000 2.3978953 1.0986123 2.9957323 2.1972246 4.1271344 1.9459101 2.0794415 2.3025851 4.4188406 2.5649494 1.7917595 0.0000000 3.4657359 2.3978953 3.3322045 3.7841896 2.9957323 1.3862944 2.3025851 2.6390573 2.7080502 4.2046926 1.3862944 1.9459101 1.7917595 2.5649494 3.2958369 2.0794415 2.5649494 1.7917595 0.0000000 1.0986123 0.0000000 2.1972246 3.5835189 0.0000000 3.1354942 0.0000000 3.0910425 0.0000000 2.8903718 1.7917595 0.0000000 4.4773368 0.0000000 2.6390573 2.4849066 1.9459101 0.0000000 1.7917595 3.0910425 0.0000000 0.0000000 2.4849066 1.6094379 3.0445224 0.0000000 1.0986123 1.0986123 4.1108739 2.4849066 2.7080502 2.8332133 2.1972246 0.0000000 2.4849066 2.3978953 3.0910425 3.0445224 1.9459101 1.3862944 1.3862944 0.0000000 2.8903718 2.4849066 1.0986123 0.0000000 2.4849066 3.5263605 2.9957323 4.8283137 0.0000000 2.8903718 2.6390573 2.5649494 3.2580965 3.4339872 2.3978953 3.0910425 2.8332133 2.3025851 3.0445224 0.0000000 2.6390573 2.9957323 0.0000000 2.8903718 2.3025851 2.3978953 1.6094379 1.9459101
2.1972246 0.0000000 3.0445224 3.6888795 2.1972246 4.7706846 3.3672958 0.0000000 2.4849066 2.6390573 1.3862944 2.5649494 2.6390573 2.7080502 0.0000000 0.0000000 3.9889840 2.3978953 2.3025851 2.1972246 2.9957323 2.5649494 1.6094379 0.0000000 0.0000000 1.7917595 1.7917595 3.0910425 0.0000000 2.6390573 2.3978953 3.0910425 2.7725887 2.0794415 1.6094379 0.0000000 0.0000000 2.3025851 4.5538769 2.6390573 1.0986123 3.0910425 2.7080502 4.2195077 1.7917595 2.0794415 2.3025851 4.5325995 2.7725887 1.7917595 3.2958369 3.3322045 2.4849066 3.2580965 3.8501476 3.0445224 1.3862944 0.0000000 1.9459101 2.7725887 4.2904594 1.3862944 1.6094379 2.0794415 2.3978953 3.4011974 2.3978953 2.5649494 1.7917595 0.0000000 1.0986123 0.0000000 2.8903718 3.6109179 0.0000000 3.1354942 0.0000000 3.0910425 0.0000000 2.8903718 1.9459101 0.0000000 4.4543473 0.0000000 2.8332133 2.1972246 2.0794415 0.0000000 1.7917595 3.1780538 0.0000000 0.0000000 2.7080502 1.6094379 2.9444390 2.5649494 1.7917595 1.0986123 4.0775374 2.6390573 2.6390573 2.7725887 2.4849066 0.0000000 2.4849066 1.7917595 3.0445224 3.1354942 1.9459101 1.0986123 1.3862944 0.0000000 3.0445224 2.5649494 1.0986123 1.6094379 2.3978953 3.6635616 3.1354942 4.8040210 1.9459101 2.8903718 2.9957323 2.5649494 3.2188758 3.5553481 0.0000000 3.0445224 2.9957323 2.3978953 2.9444390 1.9459101 2.7725887 2.9957323 0.0000000 3.0445224 2.3978953 1.7917595 1.6094379 2.0794415
2.1972246 0.0000000 3.1780538 3.6888795 2.1972246 4.8121844 3.3322045 0.0000000 2.3978953 2.7080502 1.3862944 1.7917595 2.9444390 2.7725887 3.3672958 0.0000000 4.0253517 2.4849066 2.3025851 2.1972246 2.7725887 2.7080502 0.6931472 1.6094379 0.0000000 1.7917595 2.3978953 3.2580965 2.7080502 2.7725887 2.1972246 3.1354942 3.2958369 2.0794415 1.6094379 0.0000000 0.0000000 2.0794415 4.3040651 2.5649494 1.0986123 2.9444390 2.7080502 4.1896547 1.6094379 2.0794415 1.9459101 4.5538769 2.7725887 2.1972246 3.1780538 3.6109179 2.5649494 3.2580965 3.6888795 3.1354942 1.6094379 3.3322045 2.6390573 2.7725887 4.2766661 1.6094379 1.9459101 2.1972246 2.5649494 0.0000000 2.5649494 2.5649494 0.0000000 0.0000000 1.0986123 2.0794415 2.7725887 3.5835189 0.0000000 3.0445224 2.3978953 3.0910425 0.0000000 3.2580965 1.9459101 2.0794415 4.4543473 0.0000000 3.1780538 2.4849066 2.0794415 2.9444390 2.0794415 3.1354942 0.0000000 3.5263605 2.7725887 1.7917595 2.9957323 0.0000000 1.0986123 1.7917595 4.1271344 2.5649494 2.6390573 2.9957323 2.3978953 0.0000000 2.4849066 2.1972246 2.9444390 3.3322045 1.9459101 1.3862944 1.0986123 0.0000000 3.1780538 2.7725887 1.6094379 1.6094379 2.4849066 3.7612001 3.1354942 4.8598124 1.9459101 3.5835189 2.7080502 2.4849066 3.2188758 3.7135721 2.3978953 3.0445224 2.9957323 2.7080502 2.7725887 2.0794415 2.8332133 2.9957323 2.3025851 2.9957323 2.5649494 1.7917595 1.7917595 2.0794415
2.3025851 1.0986123 3.1780538 3.6375862 2.1972246 4.8598124 3.4011974 0.6931472 2.3978953 2.7725887 2.0794415 1.7917595 2.3025851 2.9444390 3.4657359 0.0000000 4.1271344 2.3978953 2.3025851 2.3025851 2.7725887 2.7725887 0.6931472 1.6094379 0.0000000 1.7917595 2.6390573 3.1780538 2.7080502 2.7725887 2.4849066 3.1354942 3.2580965 2.1972246 1.6094379 0.0000000 0.0000000 2.1972246 4.4773368 2.5649494 1.0986123 2.8903718 2.6390573 4.2766661 1.6094379 2.0794415 1.9459101 4.5432948 2.9444390 2.3025851 3.4657359 3.5835189 2.6390573 3.0910425 3.5553481 3.0910425 2.0794415 3.3322045 2.3978953 2.8903718 4.4773368 1.7917595 1.7917595 2.3025851 2.6390573 3.4011974 2.8332133 2.5649494 2.5649494 0.0000000 1.0986123 2.1972246 2.7725887 3.2188758 0.0000000 3.0445224 0.0000000 3.0910425 0.0000000 3.1354942 0.0000000 2.0794415 4.4543473 0.0000000 3.2580965 2.5649494 2.0794415 0.0000000 2.0794415 3.2580965 0.0000000 3.4657359 2.8332133 1.9459101 2.9444390 2.0794415 1.0986123 2.1972246 4.1743873 2.4849066 2.7080502 3.0910425 2.3978953 0.0000000 2.3978953 2.1972246 2.9444390 3.0910425 2.4849066 1.0986123 1.6094379 0.0000000 3.2188758 2.6390573 1.6094379 1.6094379 2.5649494 3.8066625 3.1354942 4.9272537 2.8332133 2.7080502 2.6390573 2.3978953 3.2958369 3.7841896 0.0000000 3.2580965 2.9957323 2.9444390 2.3978953 2.1972246 2.7725887 2.7725887 2.0794415 2.9957323 2.7725887 2.1972246 1.6094379 2.3025851
2.3025851 1.6094379 2.9957323 3.6109179 2.3025851 0.0000000 3.3322045 0.6931472 2.4849066 2.8903718 1.9459101 1.9459101 2.4849066 2.9444390 3.5553481 0.0000000 3.9512437 2.5649494 2.4849066 2.5649494 2.4849066 2.8332133 1.9459101 1.6094379 0.0000000 1.9459101 3.2188758 3.1780538 2.5649494 2.8332133 2.5649494 3.0910425 3.4339872 2.1972246 0.0000000 0.0000000 0.0000000 2.1972246 4.6347290 2.7080502 1.0986123 3.0445224 2.7080502 4.4659081 1.6094379 2.0794415 2.0794415 4.5538769 3.0445224 2.0794415 3.7612001 3.6635616 2.7725887 3.0910425 3.5835189 3.1780538 1.9459101 2.9444390 2.3025851 2.8332133 4.2766661 1.7917595 1.7917595 2.6390573 2.6390573 3.4011974 3.1354942 2.3978953 2.3025851 0.0000000 1.0986123 2.3978953 2.7725887 3.6635616 0.0000000 0.0000000 3.2580965 3.0445224 0.0000000 2.9444390 1.7917595 2.0794415 4.4773368 0.0000000 3.3322045 0.0000000 2.0794415 2.8903718 2.0794415 3.3672958 0.0000000 2.9957323 2.8903718 1.7917595 3.2188758 2.0794415 1.7917595 2.6390573 4.1743873 2.4849066 2.7080502 3.1354942 2.3978953 0.0000000 2.5649494 2.3978953 3.0445224 3.3672958 2.4849066 1.3862944 1.3862944 0.0000000 3.2188758 2.3978953 1.7917595 1.6094379 2.7080502 3.9889840 3.2188758 4.9052748 2.7080502 2.9444390 2.6390573 1.9459101 2.9957323 3.8501476 2.3025851 3.1354942 3.1780538 3.0910425 2.8332133 0.0000000 2.9957323 2.7725887 1.9459101 2.8903718 2.7080502 2.3025851 1.6094379 2.7080502
2.0794415 1.7917595 3.2188758 3.6109179 2.1972246 4.9052748 3.4011974 0.6931472 2.3978953 3.0445224 2.8332133 1.9459101 2.4849066 3.0445224 3.6888795 0.0000000 3.7135721 2.3978953 2.3025851 1.6094379 2.5649494 2.9444390 2.0794415 1.6094379 0.0000000 1.9459101 3.2958369 3.2188758 3.0910425 2.7725887 2.5649494 2.9444390 3.5263605 2.3025851 1.3862944 0.0000000 0.0000000 2.1972246 4.8978398 2.8903718 1.0986123 2.8332133 2.7080502 4.6151205 1.6094379 1.9459101 2.1972246 4.5747110 3.6635616 2.3025851 3.6635616 3.7612001 2.8903718 2.9444390 3.6375862 3.2580965 1.9459101 2.9444390 2.4849066 2.8903718 4.2195077 1.7917595 1.9459101 2.3025851 2.5649494 3.5835189 2.9444390 2.7080502 1.9459101 0.0000000 1.0986123 2.3978953 2.6390573 3.7376696 0.0000000 3.2188758 0.6931472 2.9444390 0.0000000 2.9444390 1.7917595 2.0794415 4.4998097 0.0000000 3.4657359 2.7080502 2.0794415 2.9957323 2.0794415 3.4339872 0.0000000 3.3322045 2.8332133 1.9459101 3.1780538 2.3978953 1.3862944 2.7080502 4.2046926 2.4849066 2.7725887 3.0445224 2.4849066 0.0000000 2.3025851 1.9459101 2.9957323 2.9957323 2.3025851 1.3862944 1.6094379 0.0000000 3.1780538 2.3978953 1.7917595 1.6094379 2.7080502 4.1271344 3.3322045 4.8978398 2.5649494 2.9957323 2.8903718 2.3978953 3.0910425 3.8286414 2.6390573 3.1354942 3.1354942 3.0445224 2.8332133 1.9459101 3.0445224 2.7080502 1.7917595 3.0445224 2.7080502 2.1972246 1.6094379 2.7725887
1.9459101 2.1972246 3.2580965 3.8712010 2.4849066 4.8828019 3.4011974 0.6931472 2.4849066 3.0910425 2.6390573 2.3025851 2.9444390 3.1354942 3.5553481 0.0000000 3.7841896 2.3978953 2.6390573 2.6390573 2.5649494 2.9957323 2.1972246 1.3862944 0.0000000 2.1972246 3.4965076 3.1780538 3.0910425 2.8332133 2.6390573 2.8332133 3.5263605 2.3978953 1.7917595 0.0000000 0.0000000 2.1972246 4.6913479 2.7080502 1.0986123 2.7725887 2.7080502 4.7004804 1.6094379 1.9459101 2.3025851 4.6443909 2.9957323 2.3025851 3.6375862 3.8712010 2.9957323 3.2580965 3.8501476 3.0445224 2.7080502 2.9957323 2.3978953 2.9957323 4.2484952 2.3978953 1.9459101 2.3025851 2.4849066 3.3322045 2.9444390 2.6390573 2.3025851 0.0000000 1.0986123 2.3978953 2.1972246 3.5553481 0.0000000 3.1780538 3.1354942 3.1354942 0.0000000 2.8332133 1.7917595 1.9459101 4.4426513 0.0000000 3.5263605 2.7725887 2.0794415 3.0445224 1.9459101 3.3322045 0.0000000 3.1780538 2.8903718 1.9459101 3.2958369 2.3025851 1.3862944 2.3978953 4.2195077 2.7080502 2.9444390 3.0445224 2.3978953 0.0000000 2.6390573 2.0794415 3.1780538 2.8903718 2.4849066 1.6094379 1.6094379 0.0000000 3.2958369 2.6390573 1.9459101 1.6094379 2.7080502 3.9702919 3.2580965 4.8903491 2.5649494 2.9957323 2.7725887 2.4849066 3.1780538 3.8501476 2.3025851 3.1780538 2.8903718 2.7725887 2.8332133 1.7917595 3.0445224 2.7080502 1.9459101 3.0445224 2.7080502 2.1972246 1.7917595 2.7725887
